in_sensors,method_thresh,num_delete,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
True,inf,0,3,0,False,False,False,1.0,1.1368683772161603e-13;1.4179442430457916e-11;5.3326883211733e-12;,1.1368683772161603e-13;8.458455440023804e-12;6.764366844436154e-12;
True,inf,0,3,0,False,False,False,1.0,2.2737367544323206e-13;8.198074455012805e-13;4.547473508864641e-13;,2.2737367544323206e-13;8.198074455012805e-13;4.547473508864641e-13;
True,inf,0,3,0,False,False,False,1.0,1.2862197421537486e-12;2.6613406386603914e-12;1.1368683772161603e-13;,4.547473508864641e-13;2.5011104298755527e-12;1.1368683772161603e-13;
True,inf,0,3,0,False,False,False,1.0,1.1368683772161603e-13;2.2737367544323206e-13;1.1904048835920934e-11;,4.547473508864641e-13;1.016845989170083e-12;1.8954020148491897e-11;
True,inf,0,3,0,False,False,False,1.0,9.094947017729282e-13;3.651387794037898e-12;9.094947017729282e-13;,1.016845989170083e-12;9.300849707995181e-12;4.547473508864641e-13;
True,inf,0,3,0,False,False,False,1.0,4.263256414560601e-13;3.2155493553843715e-13;6.431098710768743e-13;,3.979039320256561e-13;2.2737367544323206e-13;2.2737367544323206e-13;
True,inf,0,3,0,False,False,False,1.0,2.2737367544323206e-13;3.410605131648481e-13;4.547473508864641e-13;,0.0;6.821210263296962e-13;4.547473508864641e-13;
True,inf,0,3,0,False,False,False,1.0,1.2635104203081759e-11;3.410605131648481e-13;9.374856803373542e-13;,5.6843418860808015e-12;1.1368683772161603e-13;2.2737367544323206e-13;
True,inf,0,3,0,False,False,False,1.0,0.0;9.094947017729282e-13;1.6978587793887046e-11;,0.0;4.547473508864641e-13;1.549647932860238e-11;
True,inf,0,3,0,False,False,False,1.0,0.0;1.6553053431563326e-12;2.096281709166962e-12;,4.547473508864641e-13;9.094947017729282e-13;7.190186943645084e-13;
True,inf,0,3,0,False,False,False,1.0,5.084229945850415e-13;3.410605131648481e-13;1.9420214429491438e-10;,4.687428401686771e-13;1.1368683772161603e-13;2.095808142630864e-10;
True,inf,0,3,0,False,False,False,1.0,3.410605131648481e-13;0.0;0.0;,5.684341886080802e-14;0.0;0.0;
True,inf,0,3,0,False,False,False,1.0,2.2737367544323206e-13;1.3306703193301957e-11;0.0;,0.0;1.0272157849682588e-11;4.547473508864641e-13;
True,inf,0,3,0,False,False,False,1.0,2.2737367544323206e-13;3.5429302454150493e-13;6.821210263296962e-13;,5.084229945850415e-13;3.53347694475484e-13;2.2737367544323206e-13;
True,inf,0,3,0,False,False,False,1.0,1.4380373887290168e-12;2.8760747774580336e-12;4.06589416334911e-12;,6.431098710768743e-13;2.8760747774580336e-12;2.008914298934575e-12;
True,inf,0,3,0,False,False,False,1.0,4.547473508864641e-13;5.684341886080802e-14;4.547473508864641e-13;,4.547473508864641e-13;2.2737367544323206e-13;4.547473508864641e-13;
