num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,localization_error,best_localization_error
1,0,False,False,False,1.0,1.4210854715202004e-13;,4.897778860262864e-12;
2,0,False,False,False,1.0,1.8331451766013172e-12;21918.88646640825;,1.8990806909479126e-11;3.710024985479529e-11;
2,0,False,False,False,1.0,6.9414170513817895e-12;0.0;,8.580155856231252e-12;3.749942721349417e-12;
2,0,False,False,False,1.0,3.637978807091713e-12;2.3105506601095235e-10;,2.572439484307497e-11;8.580155856231252e-12;
2,0,False,False,False,1.0,4.187628085936499e-11;1.8189894035458565e-12;,7.275957614183426e-12;2.5724394843074972e-12;
2,0,False,False,False,1.0,7.0415391689573e-11;2.548208745087668e-11;,2.548208745087668e-11;2.5724394843074972e-12;
2,0,False,False,False,1.0,0.0;8.338757116185774e-12;,1.0289757937229989e-11;9.094947017729282e-12;
2,0,False,False,False,1.0,1.4916822207721204e-11;1.1916810293157467e-10;,1.800707639015248e-11;4.897778860262864e-12;
2,0,False,False,False,0.5,4.4093612584764065e-10;,8.134767913360665e-12;
2,0,False,False,False,1.0,1.60713143914766e-10;0.0;,1.1064480586898243e-11;1.3116919128020487e-11;
2,0,False,False,False,1.0,4.547473508864641e-13;8.86757334228605e-12;,2.7284841053187847e-12;6.558459564010244e-12;
2,0,False,False,False,1.0,9.094947017729282e-13;0.0;,1.1504299109832135e-11;4.547473508864641e-12;
2,0,False,False,False,0.5,3.639754730461873e-13;,3.749942721349417e-12;
2,0,False,False,False,0.5,2.145038964057813e-12;,9.094947017729282e-12;
2,0,False,False,False,0.5,2.2164816927001546e-10;,8.134767913360665e-12;
2,0,False,False,False,1.0,7.823769253302659e-12;2.0463630789890885e-12;,6.431098710768743e-12;7.103380699760832e-12;
2,0,False,False,False,1.0,2.9416469260468148e-12;0.0;,1.0951766470309208e-11;4.547473508864641e-12;
2,0,False,False,False,1.0,2.5724394843074972e-12;1.324244274525066e-11;,9.094947017729282e-12;1.4665161412810538e-11;
2,0,False,False,False,0.5,2.0331224648431757e-10;,2.329443027495599e-11;
