k,consistency_thresh,method_thresh,prune,max_time_offset,measurement_variance,success_rate,theta_error,std
4,3500,0.95,False,0,1000.0,True,0.1128545115062529,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4079219820681743,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0237021344917991,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4127591578585594,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.3249467846376035,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.014886988642317,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2350036837728382,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.7222949510808334,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2803239146277576,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0357371960779673,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0017510013764052,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.315901799638155,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4802917522476377,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0945263301583594,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2524824244591599,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.343937996668167,31.622776601683793
4,3500,0.95,False,0,1000.0,True,2.179373981343957,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0078004271605602,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0292663863022681,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.089695202659243,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1857022828771306,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.4119757446149599,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1946217575958826,31.622776601683793
4,3500,0.95,False,0,1000.0,True,1.8796444396275616,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1332680025923878,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.6094114740856327,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.154849702802494,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2194699882834285,31.622776601683793
4,3500,0.95,False,0,1000.0,True,2.2754081297552986,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0820852026036789,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2802846309844256,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1134857560910518,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0406140374610011,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2565284348363121,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.0277067147609475,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.3707922565239272,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.1043947542889824,31.622776601683793
4,3500,0.95,False,0,1000.0,True,0.2822240545381298,31.622776601683793
