method_thresh,num_sources,std,over_predict_sources,FN,FP,percent_possible_detections,n_delete,loc_error_0,loc_error_1,loc_error_2,loc_error_3,best_loc_error_0,best_loc_error_1,best_loc_error_2,best_loc_error_3
inf,4,0,False,False,False,1.0,2,0.0,3.2155493553843715e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0,3.2155493553843715e-13,1.1368683772161603e-13,0.0
inf,4,0,False,False,False,1.0,2,2.2737367544323206e-13,5.084229945850415e-13,1.9205001440227813e-11,2.2737367544323206e-13,0.0,5.084229945850415e-13,2.2245466986778427e-11,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,1.4219123618094984e-09,5.084229945850415e-13,1.0972988558945558e-11,0.0,1.4362240486921465e-09,3.2155493553843715e-13,6.68726041560728e-12,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,0.0,2.2737367544323206e-13,3.410605131648481e-13,3.874770329415706e-11,0.0,2.2737367544323206e-13,2.2737367544323206e-13,3.413938316793694e-11
inf,4,0,False,False,False,1.0,2,1.3131551033267812e-09,4.547473508864641e-13,5.684341886080801e-13,2.2737367544323206e-13,1.3036885826026212e-09,4.547473508864641e-13,2.2737367544323206e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,2,0.0,3.2155493553843715e-13,3.410605131648481e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,0.0,2.2737367544323206e-13,4.341162080311942e-10,4.547473508864641e-13,9.094947017729282e-13,3.2155493553843715e-13,5.217506032819986e-10,3.410605131648481e-13
inf,4,0,False,False,False,1.0,2,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-13,1.1368683772161603e-13,2.2737367544323206e-13,2.2737367544323206e-13,0.0,2.2737367544323206e-13
inf,4,0,False,False,False,1.0,2,4.547473508864641e-13,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.4559018921847493e-12,0.0,1.1368683772161603e-13,0.0
inf,4,0,False,False,False,1.0,3,7.350748639662164e-11,1.8316022176029518e-10,2.5421149729252077e-13,0.0,7.867260599108199e-11,1.8316022176029518e-10,2.8421709430404007e-13,0.0
inf,4,0,False,False,False,1.0,3,6.431098710768743e-13,3.6324282538245983e-10,4.547473508864641e-13,0.0,0.0,3.5528000797465466e-10,5.115907697472721e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,1.2862197421537486e-12,9.885526518850553e-12,1.7053025658242404e-13,9.094947017729282e-13,1.016845989170083e-12,6.252776074688882e-12,3.410605131648481e-13,1.016845989170083e-12
inf,4,0,False,False,False,1.0,3,1.444494062004068e-11,1.1349386106162635e-10,4.856703836433968e-13,1.016845989170083e-12,1.0097029785890535e-11,1.3917502555611422e-10,6.042538309847401e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,7.079826254636468e-10,5.084229945850415e-13,1.1368683772161603e-13,4.547473508864641e-13,6.712687059625129e-10,5.084229945850415e-13,3.126388037344441e-13,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,3.514240922799397e-10,1.775845174940208e-12,1.5091071285220542e-11,3.01096322023056e-11,3.344474319563194e-10,2.207399102070167e-12,1.5106345774618503e-11,3.3798467804557813e-11
inf,4,0,False,False,False,1.0,3,5.532240293449121e-12,4.687428401686771e-13,5.684341886080802e-14,0.0,5.084229945850415e-12,4.687428401686771e-13,3.694822225952521e-13,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,3.6662903532026344e-12,5.084229945850415e-13,5.941768915347411e-12,4.547473508864641e-13,1.4380373887290168e-12,7.279509460923746e-13,1.3716235698681947e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,4.547473508864641e-13,5.684341886080801e-13,1.8385045797570067e-11,0.0,0.0,4.582862941503293e-13,2.8124570410120625e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,5.493415758657434e-11,5.684341886080802e-14,5.728578676879116e-12,0.0,5.206410344312357e-11,5.684341886080802e-14,1.797789950000134e-11,9.094947017729282e-13
inf,4,0,False,False,False,1.0,3,1.7442628847256054e-10,5.115907697472721e-13,2.5357915413701524e-12,0.0,1.6893726375376995e-10,5.115907697472721e-13,4.122715663505966e-12,4.547473508864641e-13
inf,4,0,False,False,False,1.0,3,4.547473508864641e-13,5.115907697472721e-13,1.3697052534385454e-11,4.547473508864641e-13,4.547473508864641e-13,5.684341886080801e-13,3.0731544214820226e-11,0.0
inf,4,0,False,False,False,1.0,3,0.0,5.684341886080802e-14,1.0697479874318524e-11,7.33540038761174e-11,0.0,5.684341886080802e-14,1.3282588743572122e-11,8.090030779714434e-11
